/* some comment ahoy */
// some other comment, followed by an empty line

filetype = arbitrary
nx = 6
ndim = 2

/* rho u_x u_y p */
0.0 0.1 0.2 0.3
1.0 1.1 1.2 1.3
2.0 2.1 2.2 2.3
3.0 3.1 3.2 3.3
4.0 4.1 4.2 4.3
5.0 5.1 5.2 5.3

10.0 10.1 10.2 10.3
11.0 11.1 11.2 11.3
12.0 12.1 12.2 12.3
13.0 13.1 13.2 13.3
14.0 14.1 14.2 14.3
15.0 15.1 15.2 15.3

20.0 20.1 20.2 20.3 
21.0 21.1 21.2 21.3
22.0 22.1 22.2 22.3
23.0 23.1 23.2 23.3
24.0 24.1 24.2 24.3
25.0 25.1 25.2 25.3

30.0 30.1 30.2 30.3 
31.0 31.1 31.2 31.3
32.0 32.1 32.2 32.3
33.0 33.1 33.2 33.3
34.0 34.1 34.2 34.3
35.0 35.1 35.2 35.3

40.0 40.1 40.2 40.3
41.0 41.1 41.2 41.3
42.0 42.1 42.2 42.3
43.0 43.1 43.2 43.3
44.0 44.1 44.2 44.3
45.0 45.1 45.2 45.3

50.0 50.1 50.2 50.3
51.0 51.1 51.2 51.3
52.0 52.1 52.2 52.3
53.0 53.1 53.2 53.3
54.0 54.1 54.2 54.3
55.0 55.1 55.2 55.3

